2025-11-19 15:55:37,812 - INFO - ======================================================================
2025-11-19 15:55:37,813 - INFO - World Bank & GFDRR Climate Adaptation Metadata Collection
2025-11-19 15:55:37,813 - INFO - ======================================================================
2025-11-19 15:55:37,813 - INFO - Fetching ICR document metadata (limit: 200)...
2025-11-19 15:56:21,040 - INFO - Fetched 1 ICR document metadata records (offset: 3100, total: 63)
2025-11-19 15:56:21,701 - INFO - Fetched 1 ICR document metadata records (offset: 3150, total: 64)
2025-11-19 15:56:22,372 - INFO - Fetched 1 ICR document metadata records (offset: 3200, total: 65)
2025-11-19 15:56:22,997 - INFO - Fetched 1 ICR document metadata records (offset: 3250, total: 66)
2025-11-19 15:56:23,686 - INFO - Fetched 1 ICR document metadata records (offset: 3300, total: 67)
2025-11-19 15:56:24,340 - INFO - Fetched 1 ICR document metadata records (offset: 3350, total: 68)
2025-11-19 15:56:25,049 - INFO - Fetched 1 ICR document metadata records (offset: 3400, total: 69)
2025-11-19 15:56:25,701 - INFO - Fetched 1 ICR document metadata records (offset: 3450, total: 70)
2025-11-19 15:56:26,355 - INFO - Fetched 1 ICR document metadata records (offset: 3500, total: 71)
2025-11-19 15:56:27,059 - INFO - Fetched 1 ICR document metadata records (offset: 3550, total: 72)
2025-11-19 15:56:27,738 - INFO - Fetched 1 ICR document metadata records (offset: 3600, total: 73)
2025-11-19 15:56:28,363 - INFO - Fetched 1 ICR document metadata records (offset: 3650, total: 74)
2025-11-19 15:56:28,996 - INFO - Fetched 1 ICR document metadata records (offset: 3700, total: 75)
2025-11-19 15:56:29,656 - INFO - Fetched 1 ICR document metadata records (offset: 3750, total: 76)
2025-11-19 15:56:30,309 - INFO - Fetched 1 ICR document metadata records (offset: 3800, total: 77)
2025-11-19 15:56:30,941 - INFO - Fetched 1 ICR document metadata records (offset: 3850, total: 78)
2025-11-19 15:56:31,591 - INFO - Fetched 1 ICR document metadata records (offset: 3900, total: 79)
2025-11-19 15:56:32,235 - INFO - Fetched 1 ICR document metadata records (offset: 3950, total: 80)
2025-11-19 15:56:32,881 - INFO - Fetched 1 ICR document metadata records (offset: 4000, total: 81)
2025-11-19 15:56:33,533 - INFO - Fetched 1 ICR document metadata records (offset: 4050, total: 82)
2025-11-19 15:56:34,170 - INFO - Fetched 1 ICR document metadata records (offset: 4100, total: 83)
2025-11-19 15:56:34,786 - INFO - Fetched 1 ICR document metadata records (offset: 4150, total: 84)
2025-11-19 15:56:35,428 - INFO - Fetched 1 ICR document metadata records (offset: 4200, total: 85)
2025-11-19 15:56:36,059 - INFO - Fetched 1 ICR document metadata records (offset: 4250, total: 86)
2025-11-19 15:56:36,711 - INFO - Fetched 1 ICR document metadata records (offset: 4300, total: 87)
2025-11-19 15:56:37,448 - INFO - Fetched 1 ICR document metadata records (offset: 4350, total: 88)
2025-11-19 15:56:38,115 - INFO - Fetched 1 ICR document metadata records (offset: 4400, total: 89)
2025-11-19 15:56:38,795 - INFO - Fetched 1 ICR document metadata records (offset: 4450, total: 90)
2025-11-19 15:56:39,438 - INFO - Fetched 1 ICR document metadata records (offset: 4500, total: 91)
2025-11-19 15:56:40,238 - INFO - Fetched 1 ICR document metadata records (offset: 4550, total: 92)
2025-11-19 15:56:40,946 - INFO - Fetched 1 ICR document metadata records (offset: 4600, total: 93)
2025-11-19 15:56:41,566 - INFO - Fetched 1 ICR document metadata records (offset: 4650, total: 94)
2025-11-19 15:56:42,376 - INFO - Fetched 1 ICR document metadata records (offset: 4700, total: 95)
2025-11-19 15:56:43,067 - INFO - Fetched 1 ICR document metadata records (offset: 4750, total: 96)
2025-11-19 15:56:43,716 - INFO - Fetched 1 ICR document metadata records (offset: 4800, total: 97)
2025-11-19 15:56:44,365 - INFO - Fetched 1 ICR document metadata records (offset: 4850, total: 98)
2025-11-19 15:56:45,110 - INFO - Fetched 1 ICR document metadata records (offset: 4900, total: 99)
2025-11-19 15:56:45,790 - INFO - Fetched 1 ICR document metadata records (offset: 4950, total: 100)
2025-11-19 15:56:46,438 - INFO - Fetched 1 ICR document metadata records (offset: 5000, total: 101)
2025-11-19 15:56:47,121 - INFO - Fetched 1 ICR document metadata records (offset: 5050, total: 102)
2025-11-19 15:56:47,757 - INFO - Fetched 1 ICR document metadata records (offset: 5100, total: 103)
2025-11-19 15:56:48,463 - INFO - Fetched 1 ICR document metadata records (offset: 5150, total: 104)
2025-11-19 15:56:49,088 - INFO - Fetched 1 ICR document metadata records (offset: 5200, total: 105)
2025-11-19 15:56:49,723 - INFO - Fetched 1 ICR document metadata records (offset: 5250, total: 106)
2025-11-19 15:56:50,428 - INFO - Fetched 1 ICR document metadata records (offset: 5300, total: 107)
2025-11-19 15:56:51,116 - INFO - Fetched 1 ICR document metadata records (offset: 5350, total: 108)
2025-11-19 15:56:51,802 - INFO - Fetched 1 ICR document metadata records (offset: 5400, total: 109)
2025-11-19 15:56:52,451 - INFO - Fetched 1 ICR document metadata records (offset: 5450, total: 110)
2025-11-19 15:56:53,116 - INFO - Fetched 1 ICR document metadata records (offset: 5500, total: 111)
2025-11-19 15:56:53,785 - INFO - Fetched 1 ICR document metadata records (offset: 5550, total: 112)
